"chromosomeI"	"fragmentI"	"chromosomeJ"	"fragmentJ"	"pvalue"
"chr18"	0	"chr18"	50000	1
"chr18"	0	"chr18"	100000	1
"chr18"	0	"chr18"	150000	1
"chr18"	0	"chr18"	200000	1
"chr18"	0	"chr18"	250000	1
"chr18"	0	"chr18"	300000	0.98982326533884
"chr18"	0	"chr18"	350000	1
"chr18"	0	"chr18"	400000	1
"chr18"	0	"chr18"	450000	1
"chr18"	0	"chr18"	500000	1
"chr18"	0	"chr18"	550000	1
"chr18"	0	"chr18"	600000	1
"chr18"	0	"chr18"	650000	1
"chr18"	0	"chr18"	700000	1
"chr18"	0	"chr18"	750000	1
"chr18"	0	"chr18"	800000	1
"chr18"	0	"chr18"	850000	1
"chr18"	0	"chr18"	900000	1
"chr18"	0	"chr18"	950000	1
"chr18"	0	"chr18"	1000000	1
"chr18"	50000	"chr18"	100000	0.999914082646613
"chr18"	50000	"chr18"	150000	0.997473275486032
"chr18"	50000	"chr18"	200000	0.998516851986358
"chr18"	50000	"chr18"	250000	0.99908532972394
"chr18"	50000	"chr18"	300000	0.9930262565992
"chr18"	50000	"chr18"	350000	0.993774713641031
"chr18"	50000	"chr18"	400000	1
"chr18"	50000	"chr18"	450000	0.989971649677103
"chr18"	50000	"chr18"	500000	0.979123572721321
"chr18"	50000	"chr18"	550000	0.973492559298639
"chr18"	50000	"chr18"	600000	0.981461019560279
"chr18"	50000	"chr18"	650000	1
"chr18"	50000	"chr18"	700000	0.995940295485871
"chr18"	50000	"chr18"	750000	0.986599647398135
"chr18"	50000	"chr18"	800000	0.987809977750961
"chr18"	50000	"chr18"	850000	0.980633174436322
"chr18"	50000	"chr18"	900000	0.91663507507886
"chr18"	50000	"chr18"	950000	0.931395011793039
"chr18"	50000	"chr18"	1000000	0.989918848645106
"chr18"	50000	"chr18"	1050000	1
"chr18"	100000	"chr18"	150000	0.972632927968515
"chr18"	100000	"chr18"	200000	0.967251159090802
"chr18"	100000	"chr18"	250000	0.990745505939368
"chr18"	100000	"chr18"	300000	0.996219583678864
"chr18"	100000	"chr18"	350000	0.992059206379146
"chr18"	100000	"chr18"	400000	0.816423708940397
"chr18"	100000	"chr18"	450000	0.984923436785901
"chr18"	100000	"chr18"	500000	1
"chr18"	100000	"chr18"	550000	0.666101043589382
"chr18"	100000	"chr18"	600000	0.803470010466204
"chr18"	100000	"chr18"	650000	0.926801752602253
"chr18"	100000	"chr18"	700000	0.934436438929044
"chr18"	100000	"chr18"	750000	0.733321949449742
"chr18"	100000	"chr18"	800000	0.928602602318487
"chr18"	100000	"chr18"	850000	0.896982074160275
"chr18"	100000	"chr18"	900000	0.873782340581549
"chr18"	100000	"chr18"	950000	0.986895552662646
"chr18"	100000	"chr18"	1000000	0.983612071611599
"chr18"	100000	"chr18"	1050000	0.816500202450442
"chr18"	100000	"chr18"	1100000	0.978588061786784
"chr18"	150000	"chr18"	200000	0.208693341970762
"chr18"	150000	"chr18"	250000	0.81084864463531
"chr18"	150000	"chr18"	300000	0.741595781600946
"chr18"	150000	"chr18"	350000	0.716199234814339
"chr18"	150000	"chr18"	400000	0.561515985345098
"chr18"	150000	"chr18"	450000	0.314826169054159
"chr18"	150000	"chr18"	500000	0.585593826339889
"chr18"	150000	"chr18"	550000	0.464809521808592
"chr18"	150000	"chr18"	600000	0.0702008490842339
"chr18"	150000	"chr18"	650000	0.530708226789969
"chr18"	150000	"chr18"	700000	0.158190113810219
"chr18"	150000	"chr18"	750000	0.794094600406222
"chr18"	150000	"chr18"	800000	0.146392300140336
"chr18"	150000	"chr18"	850000	0.340595851066186
"chr18"	150000	"chr18"	900000	0.678931921493672
"chr18"	150000	"chr18"	950000	0.991652118631092
"chr18"	150000	"chr18"	1000000	0.514009223542062
"chr18"	150000	"chr18"	1050000	0.868879609878356
"chr18"	150000	"chr18"	1100000	1
"chr18"	150000	"chr18"	1150000	0.906613545958236
"chr18"	200000	"chr18"	250000	0.341310286073207
"chr18"	200000	"chr18"	300000	0.693276590211987
"chr18"	200000	"chr18"	350000	0.358188563503321
"chr18"	200000	"chr18"	400000	0.238688450115878
"chr18"	200000	"chr18"	450000	0.153149715275365
"chr18"	200000	"chr18"	500000	0.174822187666904
"chr18"	200000	"chr18"	550000	0.0641315580600931
"chr18"	200000	"chr18"	600000	0.0112617763936114
"chr18"	200000	"chr18"	650000	0.030747620961942
"chr18"	200000	"chr18"	700000	0.0968885931093204
"chr18"	200000	"chr18"	750000	0.175482340578119
"chr18"	200000	"chr18"	800000	0.0979424909355328
"chr18"	200000	"chr18"	850000	0.405956650659466
"chr18"	200000	"chr18"	900000	0.57717718720958
"chr18"	200000	"chr18"	950000	0.844918722223665
"chr18"	200000	"chr18"	1000000	0.971682974436688
"chr18"	200000	"chr18"	1050000	0.742061408281867
"chr18"	200000	"chr18"	1100000	0.964021420036915
"chr18"	200000	"chr18"	1150000	0.543586710893719
"chr18"	200000	"chr18"	1200000	0.675974415999064
"chr18"	250000	"chr18"	300000	0.427095074179048
"chr18"	250000	"chr18"	350000	0.281182911785935
"chr18"	250000	"chr18"	400000	0.149108538814748
"chr18"	250000	"chr18"	450000	0.113477374551225
"chr18"	250000	"chr18"	500000	0.0497320003532683
"chr18"	250000	"chr18"	550000	0.0221175767144161
"chr18"	250000	"chr18"	600000	0.000119876845022081
"chr18"	250000	"chr18"	650000	0.0895259644464328
"chr18"	250000	"chr18"	700000	0.0854177289780893
"chr18"	250000	"chr18"	750000	0.14632583589289
"chr18"	250000	"chr18"	800000	0.0221987577777037
"chr18"	250000	"chr18"	850000	0.675167965969031
"chr18"	250000	"chr18"	900000	0.736575029675656
"chr18"	250000	"chr18"	950000	0.78441821432188
"chr18"	250000	"chr18"	1000000	0.919994316426742
"chr18"	250000	"chr18"	1050000	0.812929760788004
"chr18"	250000	"chr18"	1100000	0.946672359502329
"chr18"	250000	"chr18"	1150000	0.953699113341813
"chr18"	250000	"chr18"	1200000	0.909344996756184
"chr18"	250000	"chr18"	1250000	0.664631244002323
"chr18"	300000	"chr18"	350000	0.0823570316612042
"chr18"	300000	"chr18"	400000	0.102841671254195
"chr18"	300000	"chr18"	450000	0.0547227065828416
"chr18"	300000	"chr18"	500000	0.0623192387108624
"chr18"	300000	"chr18"	550000	0.00139683937269652
"chr18"	300000	"chr18"	600000	0.000450853406604134
"chr18"	300000	"chr18"	650000	0.0447543079154758
"chr18"	300000	"chr18"	700000	0.27294256440065
"chr18"	300000	"chr18"	750000	0.335721641525627
"chr18"	300000	"chr18"	800000	0.00859312318687333
"chr18"	300000	"chr18"	850000	0.609234033395611
"chr18"	300000	"chr18"	900000	0.696243214874233
"chr18"	300000	"chr18"	950000	0.801998350936717
"chr18"	300000	"chr18"	1000000	0.973117033444438
"chr18"	300000	"chr18"	1050000	0.981980226616837
"chr18"	300000	"chr18"	1100000	0.967235636615078
"chr18"	300000	"chr18"	1150000	0.97145329345231
"chr18"	300000	"chr18"	1200000	0.769951683183776
"chr18"	300000	"chr18"	1250000	0.4992694296078
"chr18"	300000	"chr18"	1300000	0.912162853432049
"chr18"	350000	"chr18"	400000	0.0410713974763792
"chr18"	350000	"chr18"	450000	0.0077539952607394
"chr18"	350000	"chr18"	500000	0.0876893357671096
"chr18"	350000	"chr18"	550000	0.0133448272801057
"chr18"	350000	"chr18"	600000	0.00100032842515655
"chr18"	350000	"chr18"	650000	0.102961365387078
"chr18"	350000	"chr18"	700000	0.139244237852293
"chr18"	350000	"chr18"	750000	0.382336995000429
"chr18"	350000	"chr18"	800000	0.0555990813258821
"chr18"	350000	"chr18"	850000	0.631432445473834
"chr18"	350000	"chr18"	900000	0.768386227950562
"chr18"	350000	"chr18"	950000	0.711439057151715
"chr18"	350000	"chr18"	1000000	0.952120206472553
"chr18"	350000	"chr18"	1050000	0.705744681815995
"chr18"	350000	"chr18"	1100000	0.943985839675253
"chr18"	350000	"chr18"	1150000	0.764786477893949
"chr18"	350000	"chr18"	1200000	0.949366603067402
"chr18"	350000	"chr18"	1250000	0.856452335489225
"chr18"	350000	"chr18"	1300000	0.710394849165425
"chr18"	350000	"chr18"	1350000	1
"chr18"	400000	"chr18"	450000	0.0809023481752362
"chr18"	400000	"chr18"	500000	0.314280375897816
"chr18"	400000	"chr18"	550000	0.0785044886791952
"chr18"	400000	"chr18"	600000	0.115013967471858
"chr18"	400000	"chr18"	650000	0.303791866806851
"chr18"	400000	"chr18"	700000	0.57988984953368
"chr18"	400000	"chr18"	750000	0.349368242121184
"chr18"	400000	"chr18"	800000	0.119883864403755
"chr18"	400000	"chr18"	850000	0.59975595513007
"chr18"	400000	"chr18"	900000	0.80726329225986
"chr18"	400000	"chr18"	950000	0.841108346420089
"chr18"	400000	"chr18"	1000000	0.992565490937528
"chr18"	400000	"chr18"	1050000	0.833258208025884
"chr18"	400000	"chr18"	1100000	0.991379901512689
"chr18"	400000	"chr18"	1150000	0.938563892357548
"chr18"	400000	"chr18"	1200000	0.521769388926678
"chr18"	400000	"chr18"	1250000	0.976191393892069
"chr18"	400000	"chr18"	1300000	1
"chr18"	400000	"chr18"	1350000	0.932216836715847
"chr18"	400000	"chr18"	1400000	0.616858619432747
"chr18"	450000	"chr18"	500000	0.471346630592533
"chr18"	450000	"chr18"	550000	0.224616735719665
"chr18"	450000	"chr18"	600000	0.397619381849466
"chr18"	450000	"chr18"	650000	0.42287188987676
"chr18"	450000	"chr18"	700000	0.543605305840431
"chr18"	450000	"chr18"	750000	0.577666215049257
"chr18"	450000	"chr18"	800000	0.209939115567516
"chr18"	450000	"chr18"	850000	0.600082357553511
"chr18"	450000	"chr18"	900000	0.843669443074664
"chr18"	450000	"chr18"	950000	0.911731278054415
"chr18"	450000	"chr18"	1000000	0.99644828032786
"chr18"	450000	"chr18"	1050000	0.977162540877606
"chr18"	450000	"chr18"	1100000	0.925831651864946
"chr18"	450000	"chr18"	1150000	0.796264385442701
"chr18"	450000	"chr18"	1200000	0.93690266690531
"chr18"	450000	"chr18"	1250000	0.902528720402902
"chr18"	450000	"chr18"	1300000	1
"chr18"	450000	"chr18"	1350000	0.961994242589326
"chr18"	450000	"chr18"	1400000	0.848805585972535
"chr18"	450000	"chr18"	1450000	0.984480271492582
"chr18"	500000	"chr18"	550000	0.593260915534867
"chr18"	500000	"chr18"	600000	0.404912743899545
"chr18"	500000	"chr18"	650000	0.69569657977561
"chr18"	500000	"chr18"	700000	0.834052853553722
"chr18"	500000	"chr18"	750000	0.988093997175405
"chr18"	500000	"chr18"	800000	0.356811179045451
"chr18"	500000	"chr18"	850000	0.967722450094622
"chr18"	500000	"chr18"	900000	0.872445205525837
"chr18"	500000	"chr18"	950000	0.969989720927187
"chr18"	500000	"chr18"	1000000	0.961808861858281
"chr18"	500000	"chr18"	1050000	0.967812160986633
"chr18"	500000	"chr18"	1100000	0.887189642730265
"chr18"	500000	"chr18"	1150000	0.994982367429406
"chr18"	500000	"chr18"	1200000	0.984136341727701
"chr18"	500000	"chr18"	1250000	0.890805631939172
"chr18"	500000	"chr18"	1300000	0.976173915608517
"chr18"	500000	"chr18"	1350000	0.921159137157257
"chr18"	500000	"chr18"	1400000	0.956876053250325
"chr18"	500000	"chr18"	1450000	1
"chr18"	500000	"chr18"	1500000	0.824382387261433
"chr18"	550000	"chr18"	600000	0.263616080273581
"chr18"	550000	"chr18"	650000	0.616014026370487
"chr18"	550000	"chr18"	700000	0.504721248583832
"chr18"	550000	"chr18"	750000	0.597902845892214
"chr18"	550000	"chr18"	800000	0.218338671824368
"chr18"	550000	"chr18"	850000	0.495219377183499
"chr18"	550000	"chr18"	900000	0.791844096103839
"chr18"	550000	"chr18"	950000	0.969139533273018
"chr18"	550000	"chr18"	1000000	0.877770423063997
"chr18"	550000	"chr18"	1050000	0.742697162432529
"chr18"	550000	"chr18"	1100000	0.906041441372536
"chr18"	550000	"chr18"	1150000	0.905695448327202
"chr18"	550000	"chr18"	1200000	0.990733250559743
"chr18"	550000	"chr18"	1250000	0.946572978208542
"chr18"	550000	"chr18"	1300000	0.893320254097258
"chr18"	550000	"chr18"	1350000	0.59540765334794
"chr18"	550000	"chr18"	1400000	0.83249211530772
"chr18"	550000	"chr18"	1450000	0.867232560817405
"chr18"	550000	"chr18"	1500000	0.855475511747589
"chr18"	550000	"chr18"	1550000	0.902620293761225
"chr18"	600000	"chr18"	650000	0.662431967552863
"chr18"	600000	"chr18"	700000	0.471881263740895
"chr18"	600000	"chr18"	750000	0.421493434579846
"chr18"	600000	"chr18"	800000	0.0516168148823392
"chr18"	600000	"chr18"	850000	0.716031849865196
"chr18"	600000	"chr18"	900000	0.784795287534593
"chr18"	600000	"chr18"	950000	0.830157957369685
"chr18"	600000	"chr18"	1000000	0.937121248215229
"chr18"	600000	"chr18"	1050000	0.98571126081514
"chr18"	600000	"chr18"	1100000	0.915052232814601
"chr18"	600000	"chr18"	1150000	0.976821374823056
"chr18"	600000	"chr18"	1200000	0.868321651604769
"chr18"	600000	"chr18"	1250000	0.992116737283286
"chr18"	600000	"chr18"	1300000	0.888886004988456
"chr18"	600000	"chr18"	1350000	1
"chr18"	600000	"chr18"	1400000	0.826797830769609
"chr18"	600000	"chr18"	1450000	0.966529105891523
"chr18"	600000	"chr18"	1500000	0.974483265005821
"chr18"	600000	"chr18"	1550000	0.881152141986019
"chr18"	600000	"chr18"	1600000	0.976158001080064
"chr18"	650000	"chr18"	700000	0.648649933309816
"chr18"	650000	"chr18"	750000	0.6485757315447
"chr18"	650000	"chr18"	800000	0.3605234513647
"chr18"	650000	"chr18"	850000	0.557618089032038
"chr18"	650000	"chr18"	900000	0.962371605337356
"chr18"	650000	"chr18"	950000	0.991683101164661
"chr18"	650000	"chr18"	1000000	0.801098933212178
"chr18"	650000	"chr18"	1050000	1
"chr18"	650000	"chr18"	1100000	0.909311547624221
"chr18"	650000	"chr18"	1150000	1
"chr18"	650000	"chr18"	1200000	0.963563887156178
"chr18"	650000	"chr18"	1250000	0.87889563972812
"chr18"	650000	"chr18"	1300000	0.949940178379496
"chr18"	650000	"chr18"	1350000	0.862352507621313
"chr18"	650000	"chr18"	1400000	0.836034802643035
"chr18"	650000	"chr18"	1450000	1
"chr18"	650000	"chr18"	1500000	0.862733008990805
"chr18"	650000	"chr18"	1550000	0.973064898856889
"chr18"	650000	"chr18"	1600000	0.959777879092412
"chr18"	650000	"chr18"	1650000	0.549112685007451
"chr18"	700000	"chr18"	750000	0.22976915678917
"chr18"	700000	"chr18"	800000	0.0186926707955797
"chr18"	700000	"chr18"	850000	0.844151929806645
"chr18"	700000	"chr18"	900000	0.905560105969404
"chr18"	700000	"chr18"	950000	0.959529603916727
"chr18"	700000	"chr18"	1000000	0.987971692127216
"chr18"	700000	"chr18"	1050000	0.699369000450238
"chr18"	700000	"chr18"	1100000	0.98855769833202
"chr18"	700000	"chr18"	1150000	0.873749630272759
"chr18"	700000	"chr18"	1200000	0.95513748514174
"chr18"	700000	"chr18"	1250000	0.961537735128247
"chr18"	700000	"chr18"	1300000	0.935481036841001
"chr18"	700000	"chr18"	1350000	1
"chr18"	700000	"chr18"	1400000	0.774016949681113
"chr18"	700000	"chr18"	1450000	0.340861495048297
"chr18"	700000	"chr18"	1500000	0.551716059114324
"chr18"	700000	"chr18"	1550000	0.385572961437846
"chr18"	700000	"chr18"	1600000	0.66551189753709
"chr18"	700000	"chr18"	1650000	0.644337893009388
"chr18"	700000	"chr18"	1700000	0.349115009965427
